WELL,I,J,K,DEPTH,WSWP_cost,class_
BEGJP181,13,554,1,4182.33,294490.17651367193,-1
BEGJP1P3,151,488,2,4187.03,261317.1516113281,2
BEGJ9PP1,43,599,1,3803.33,177434.13537597656,1
BEGJP1P8,147,453,1,4186.89,289801.99169921875,-1
BEGJP288,101,153,4,4218.21,219933.16430664065,3
BEGJP282,144,162,5,4201.15,218559.88940429688,3
BEGJP232,37,384,5,4188.27,250826.392578125,2
BEGJP111,39,618,5,4202.47,277847.66967773443,-1
BEGJP211,139,210,9,4204.24,229351.28369140625,3
BEGJP19P,152,498,6,4209.88,264719.810546875,2
BEGJP218,141,325,3,4184.69,250299.07421875,2
BEGJP239,42,335,5,4208.15,260384.6240234375,2
BEGJP221,140,281,6,4206.03,244963.8544921875,2
BEGJ9PP1,80,276,1,3640.35,156235.21264648438,0
BEGJP228,141,266,4,4229.65,236208.5456542969,3
BEGJP193,152,524,5,4222.06,271992.28588867193,2
BEGJP188,14,543,7,4205.31,306900.09106445307,-1
BEGJP1P1,149,464,11,4191.82,307795.17016601557,-1
BEGJP238,40,357,14,4270.39,251309.9147949219,2
BEGJP288,149,105,9,4196.53,204931.19555664065,3
BEGJP223,142,297,3,4221.64,243847.2243652344,2
BEGJP182,11,568,4,4174.64,238761.4421386719,2
BEGJP225,71,270,3,4193.67,244716.8720703125,2
BEGJP225,27,410,10,4305.03,255554.9499511719,2
BEGJP2P5,106,19,6,4262.62,209057.21435546875,3
BEGJP215,92,207,6,4281.59,224363.97314453125,3
BEGJP281,97,180,7,4266.54,216342.173828125,3
BEGJP1PP,147,430,16,4220.52,257782.7238769531,2
BEGJP18P,148,537,3,4198.55,269133.26489257807,2
BEGJP211,79,250,5,4266.46,233944.595703125,3
BEGJ9PP2,45,391,1,3579.07,147151.08618164062,0
BEGJP285,98,126,5,4230.08,220108.60278320312,3
BEGJP198,153,513,6,4218.77,271646.58715820307,2
BEGJP21P,143,314,4,4238.92,245984.42626953125,2
BEGJP219,51,311,8,4142.34,283376.75439453125,-1
BEGJP228,65,280,5,4236.9,256937.43701171875,2
BEGJP1P9,23,425,4,4253.42,253184.77758789065,2
BEGJP188,145,552,12,4201.75,259003.15087890625,2
BEGJP218,86,230,6,4267.55,233738.95849609372,3
BEGJP112,52,626,2,4225.31,310463.22241210943,-1
BEGJP2P8,101,45,6,4287.57,211586.6037597656,3
BEGJP118,27,611,5,4212.39,257379.89599609372,2
BEGJP29P,157,68,5,4303.33,201103.923828125,3
BEGJP1P8,22,457,3,4181.42,226577.7468261719,3
BEGJP188,83,656,1,4196.96,322395.59594726557,-1
BEGJP211,142,336,7,4212.57,254225.7316894531,2
BEGJP215,45,322,8,4241.91,264264.49243164057,2
BEGJP11P,143,580,5,4201.88,254691.4040527344,2
BEGJP189,14,516,4,4232.39,264845.14331054693,2
BEGJP188,145,595,1,4219.09,251980.06494140625,2
BEGJP1P2,151,476,6,4189.96,279361.8720703125,-1
BEGJP2P1,98,72,4,4227.29,201045.44165039065,3
BEGJP228,144,399,4,4204.24,268045.6328125,2
BEGJP2P8,155,42,2,4292.45,205622.8352050781,3
BEGJP182,94,695,3,4326.15,213027.93383789065,3
BEGJP2P2,95,100,4,4228.85,209473.14868164065,3
BEGJP115,18,601,8,4134.03,248408.091796875,2
BEGJP232,145,369,3,4214.92,254958.6857910156,2
BEGJP118,148,612,3,4237.19,269719.8530273437,2
BEGJP231,39,372,7,4242.73,245212.5163574219,2
BEGJP1P1,20,476,6,4238.5,258489.4833984375,2
BEGJP151,149,661,3,4230.21,218691.9562988281,3
BEGJP222,111,366,216,4301.3,154187.93505859375,0
BEGJP298,145,12,3,4278.06,215778.92651367188,3
BEGJP212,141,240,3,4250.59,236152.5866699219,3
BEGJP111,148,623,7,4231.07,248426.09228515625,2
BEGJP185,14,531,1,4215.83,271102.08056640625,2
BEGJP212,113,307,221,4320.11,145690.92651367188,0
BEGJP129,74,637,5,4258.41,297218.04565429693,-1
BEGJP988,129,108,1,3933.4,105463.7120361328,0
BEGJ9P98,129,687,12,4087.76,180026.33374023438,1
BEGJP155,36,580,224,4249.74,174026.19738769528,1
BEGJP1P2,34,414,212,4378.54,217064.4522705078,3
BEGJP8PP,68,344,2,3322.25,116573.73071289062,0
BEGJP921,92,284,5,3474.45,109003.16088867188,0
BEGJP181,149,642,4,4229.44,233458.5888671875,3
BEGJP9P9,122,41,2,3961.71,136179.59948730472,0
BEGJP223,111,423,218,4273.49,160836.66381835938,1
BEGJP123,161,767,9,4250.53,208507.95751953125,3
BEGJP9P1,125,93,1,3831.74,111359.1675415039,0
BEGJ9PP3,124,777,1,4083.59,178235.22814941406,1
BEGJP159,27,498,212,4295.72,216159.81506347656,3
BEGJP233,144,391,1,4212.77,256748.56201171875,2
BEGJP911,110,216,3,3856.73,150358.75415039062,0
BEGJP8P1,70,364,1,3322.9,94031.56018066406,0
BEGJP593,120,503,2,3812.64,90569.9214477539,0
BEGJP918,113,226,1,3848.02,135827.30053710938,0
BEGJP122,163,722,5,4310.42,205987.13549804688,3
BEGJP923,110,303,1,3642.91,133923.24060058597,0
BEGJP9P5,125,52,1,3913.79,117670.47631835938,0
BEGJP921,81,303,10,3390.87,96176.35711669922,0
BEGJP989,115,98,2,3845.49,116200.12707519533,0
BEGJP5P8,47,453,5,3233.6,132730.77111816403,0
BEGJP8P3,112,367,3,3670.24,91115.2904663086,0
BEGJP158,78,588,212,4289.84,174653.9208984375,1
BEGJP191,115,485,215,4313.26,85831.59509277344,0
BEGJP981,128,128,4,3986.13,115619.9496459961,0
BEGJP928,111,292,3,3679.22,128827.20947265625,0
BEGJP9P1,114,61,5,3979.16,149191.72424316403,0
BEGJP59P,50,467,4,3231.74,117497.41357421875,0
BEGJP912,107,234,3,3776.73,130374.7421875,0
BEGJP122,100,771,2,4201.61,201319.2062988281,3
BEGJP91P,81,309,6,3369.68,95325.8253173828,0
BEGJP913,104,245,2,3691.18,122572.451171875,0
BEGJ9PP2,111,68,6,4000.88,168900.13012695312,1
BEGJP988,118,133,1,3940.2,120681.39379882812,0
BEGJP892,103,421,1,3566.35,119230.25427246095,0
BEGJP891,57,403,1,3237.52,103975.8656616211,0
BEGJP588,48,429,2,3231.67,112482.27349853516,0
BEGJP911,109,240,2,3766.74,126470.20544433595,0
BEGJP228,53,326,224,4314.35,72379.83898925781,0
BEGJP15P,107,537,214,4293.81,170863.39599609375,1
BEGJP911,80,319,3,3336.82,96319.7861328125,0
BEGJP922,99,286,8,3547.14,109690.5576171875,0
BEGJP5P2,44,461,7,3234.9,131215.65734863278,0
BEGJP5P5,115,439,4,3711.86,119810.77252197266,0
BEGJP9P2,122,69,1,3851.19,128099.24951171875,0
BEGJP981,123,169,1,3929.58,128490.46997070312,0
BEGJP133,154,849,9,4235.14,201743.84521484366,3
BEGJP913,69,327,3,3316.12,118407.19647216795,0
BEGJP8P2,114,379,1,3687.9,92465.4468383789,0
BEGJP922,104,298,7,3580.03,125456.396484375,0
BEGJP8P9,110,339,6,3640.79,115715.89611816405,0
BEGJP912,108,251,5,3717.91,121977.408203125,0
BEGJP982,123,142,2,3956.46,135911.95874023438,0
BEGJP98P,97,263,2,3575.76,117926.69219970705,0
BEGJP5P1,48,436,4,3235.83,124518.69775390625,0
BEGJP98P,131,85,6,3895.01,135450.82238769528,0
BEGJP9P8,114,84,1,3894.76,137273.73095703125,0
BEGJP918,98,309,2,3497.52,104407.47900390624,0
BEGJP8P2,66,351,1,3350.29,110920.33526611328,0
BEGJP1P2,117,536,2,3853.67,74605.78164672853,0
BEGJP8P5,99,360,2,3513.6,106811.02362060547,0
BEGJP919,113,315,1,3677.32,133162.57763671875,0
BEGJP132,162,808,3,4271.51,210075.18774414065,3
BEGJP892,99,384,3,3516.12,84829.99676513673,0
BEGJP198,101,569,3,3784.69,88340.4066772461,0
BEGJP891,115,403,2,3691.26,85253.97595214844,0
BEGJP8P8,97,346,5,3484.07,100011.51934814453,0
BEGJP8P8,107,598,5,3911.7,90627.55059814453,0
BEGJP193,30,526,7,3600.06,138741.18322753903,0
BEGJP8P9,95,590,1,3828.03,78476.79229736327,0
BEGJP983,117,163,1,3912.45,132663.08361816403,0
BEGJP915,99,323,3,3507.29,100961.84051513672,0
BEGJP131,103,822,2,4230.78,195233.3916015625,3
BEGJP582,45,444,2,3243.39,138033.75390625,0
BEGJP895,101,397,3,3537.47,80207.85308837889,0
BEGJP89P,72,369,3,3312.98,91711.80993652344,0
BEGJP599,44,477,1,3250.77,126820.06591796875,0
BEGJP918,133,68,5,3926.46,143237.81689453125,0
BEGJP8P8,109,351,1,3626.66,106802.13134765624,0
BEGJP192,108,585,2,3893.95,76756.02276611327,0
BEGJP8P1,48,589,3,3577.0,161983.85278320312,1
BEGJP893,115,428,2,3684.44,121989.79553222655,0
BEGJP889,65,387,1,3261.48,91924.8334350586,0
BEGJP198,40,559,4,3417.27,119166.4658203125,0
BEGJP19P,41,533,1,3323.83,135877.7763671875,0
BEGJP18P,96,581,2,3798.79,86796.45855712889,0
BEGJP888,78,376,212,3963.86,139278.98681640625,0
BEGJP918,112,328,3,3661.73,127475.7412109375,0
BEGJP88P,113,415,1,3659.46,95328.55334472656,0
BEGJP898,115,392,3,3697.47,90125.73706054688,0
BEGJP1P3,108,560,2,3817.53,93506.09985351562,0
BEGJP195,47,565,1,3370.95,120632.6085205078,0
BEGJP911,99,333,3,3513.07,99760.6821899414,0
BEGJP595,115,463,1,3740.12,96878.46411132812,0
BEGJP1P9,45,493,6,3261.28,127763.24572753905,0
BEGJP895,109,619,4,3937.01,90956.32110595703,0
BEGJP191,107,576,4,3858.86,83883.41369628906,0
BEGJP891,106,631,3,3944.44,82647.94458007812,0
BEGJP89P,88,610,4,3913.26,81863.75543212889,0
BEGJP985,115,109,3,3856.66,89542.20166015625,0
BEGJP598,47,485,7,3252.51,125146.38220214845,0
BEGJP898,102,413,3,3560.83,98562.30688476562,0
BEGJP929,120,185,4,3927.16,148633.83837890625,0
BEGJP899,108,608,7,3940.43,93619.21728515624,0
BEGJP898,100,614,6,3914.5,78115.56494140625,0
BEGJP591,101,471,3,3584.08,95663.69122314453,0
BEGJP899,71,377,4,3285.67,90538.87017822266,0
BEGJP199,42,550,2,3324.41,120289.65844726562,0
BEGJP1P1,95,555,5,3696.33,96409.2398071289,0
BEGJP912,80,336,288,4027.82,92181.59051513672,0
BEGJP585,114,476,3,3739.47,90469.75701904297,0
BEGJP1P8,113,548,3,3831.86,93580.6547241211,0
BEGJP892,112,654,4,3957.85,127757.48046875,0
BEGJP5P9,101,437,1,3570.3,118382.96301269533,0
BEGJP8P1,84,599,1,3842.08,81727.44097900389,0
BEGJP885,76,392,215,3938.53,142994.40173339847,0
BEGJP891,58,529,217,3788.58,140813.01354980472,0
BEGJP928,108,268,4,3680.58,121794.67321777345,0
BEGJP588,59,453,212,3839.59,138301.240234375,0
BEGJP925,108,278,3,3667.68,120068.66748046875,0
BEGJP1P8,95,524,2,3588.76,111234.37127685547,0
BEGJP5P1,114,452,4,3713.99,108365.23455810547,0
BEGJP1P5,99,537,5,3676.7,98263.3046875,0
BEGJP192,46,469,219,3787.33,147081.37609863278,0
BEGJP8PP,68,597,3,3747.4,154361.36059570312,0
BEGJP589,59,426,216,3844.71,119270.11053466795,0
BEGJP581,112,485,5,3724.34,85569.50708007812,0
BEGJP592,115,495,3,3766.05,86525.22576904298,0
BEGJP829,119,699,12,4033.11,170656.43395996097,1
BEGJP188,57,495,215,3782.01,153427.05725097653,0
BEGJP598,100,489,3,3600.03,100643.74774169922,0
BEGJP881,64,413,213,3876.58,117759.20056152345,0
BEGJP5P2,111,445,1,3679.1,110918.28759765624,0
BEGJP932,115,359,4,3708.9,99279.36322021484,0
BEGJP88P,62,541,215,3837.03,166318.46655273438,1
BEGJP819,125,729,15,4077.31,174977.83374023438,1
BEGJP5P8,52,419,5,3219.57,109838.28259277344,0
BEGJP5P3,103,457,4,3613.14,102834.18084716797,0
BEGJP189,59,442,213,3850.07,128363.60388183595,0
BEGJP592,100,506,3,3623.74,150376.63610839847,0
BEGJP238,142,348,6,4188.92,261748.09619140625,2
BEGJP818,122,760,19,4093.52,145471.33239746097,0
BEGJP815,126,822,21,4058.08,180592.44299316406,1
BEGJP192,10,574,16,4159.12,229456.310546875,3
BEGJP191,95,429,4,3515.26,129524.58337402345,0
BEGJP1P2,95,405,3,3487.65,90792.19500732422,0
BEGJP1PP,118,518,2,3821.11,83514.30926513673,0
BEGJP1P1,115,511,2,3776.46,82488.39752197267,0
BEGJP8P2,54,480,1,3244.07,131128.81555175778,0
BEGJP812,59,594,1,3650.03,155647.44775390625,0
BEGJP818,126,788,13,4070.86,168456.57568359375,1
BEGJ9P95,57,370,116,3585.97,132977.28454589847,0
BEGJ1P95,58,369,212,4076.51,166220.19250488278,1
BEGJP12P,117,905,5,4205.64,206327.36743164065,3
BEGJP888,97,372,3,3497.9,98177.78308105467,0
BEGJP988,68,337,7,3315.19,99582.73815917967,0
BEGJP985,81,295,1,3422.56,82549.79357910156,0
BEGJP981,128,34,3,4001.38,134207.78918457028,0
BEGJP851,68,382,2,3271.18,57960.580749511726,4
BEGJP989,97,254,4,3623.72,115647.32482910155,0
BEGJP859,52,412,2,3224.62,100476.43530273438,0
BEGJP855,120,457,13,3794.08,74587.77416992188,0
BEGJP558,121,489,4,3819.12,76999.39318847656,0
BEGJP88P,95,259,11,3606.73,38355.93603515625,4
BEGJP55P,135,502,4,3985.47,60119.35595703125,4
BEGJP888,76,315,4,3341.24,29059.55499267578,4
BEGJP999,133,92,3,3933.54,71972.94604492188,0
BEGJP883,58,397,2,3249.83,95115.982421875,0
BEGJP185,109,591,1,3920.72,26709.13217163086,4
BEGJP559,140,472,7,4039.39,83117.57495117188,0
BEGJP15P,116,542,2,3846.25,27298.63836669922,4
BEGJP551,51,407,4,3242.87,33914.46203613281,4
BEGJP981,115,321,7,3713.38,94243.21752929688,0
BEGJP889,75,306,3,3393.87,32179.750244140625,4
BEGJP511,104,450,8,3614.48,30844.974609375,4
BEGJP822,113,285,1,3722.45,101789.6279296875,0
BEGJP983,110,260,3,3721.4,94839.10144042967,0
BEGJP881,121,408,3,3775.46,39903.032775878906,4
BEGJP992,118,89,221,4455.49,82122.05920410156,0
BEGJP11P,136,528,10,4034.52,76981.11120605469,0
BEGJP982,116,385,3,3713.3,84352.66680908202,0
BEGJP99P,118,150,1,3936.4,81804.88903808594,0
BEGJP121,47,584,1,3528.36,46682.66418457031,4
BEGJP998,111,97,2,3902.64,56393.823486328125,4
BEGJP115,48,593,15,3637.34,48148.18249511719,4
BEGJP881,122,664,3,4014.95,103466.3427734375,0
BEGJP581,120,433,16,3764.55,34557.59045410156,4
BEGJP881,78,599,2,3827.23,30169.205444335938,4
BEGJP515,97,442,3,3538.96,32935.14813232422,4
BEGJP118,126,581,5,4065.67,69307.56408691406,0
BEGJP111,129,562,3,4041.41,118120.2109375,0
BEGJP118,114,526,2,3799.6,26972.123474121094,4
BEGJP112,85,587,1,3774.62,21282.13806152344,4
BEGJP982,117,203,3,3916.93,109258.83056640624,0
BEGJP112,136,622,1,4113.03,77676.1552734375,0
BEGJP92P,119,167,4,3905.89,97651.98767089844,0
BEGJP119,134,546,11,4060.74,81252.57067871094,0
BEGJP182,99,511,19,3638.91,42109.84716796875,4
BEGJP12P,95,597,3,3863.63,18782.558166503903,4
BEGJP11P,68,587,26,3670.13,40819.35339355469,4
BEGJP882,117,397,4,3721.99,52040.42205810547,4
BEGJP839,92,632,7,3976.37,26621.37091064453,4
BEGJP838,96,651,2,3956.01,46675.42022705078,4
BEGJP995,127,70,3,3868.88,46277.07495117188,4
BEGJP883,57,590,4,3584.39,86611.47888183594,0
BEGJP882,77,592,1,3769.92,53970.87219238281,4
BEGJP85P,113,625,3,3960.98,31839.31463623047,4
BEGJP859,107,667,7,3940.62,65126.09521484375,0
BEGJP511,104,467,10,3625.37,26763.549560546875,4
BEGJP111,115,555,1,3869.14,24132.469116210938,4
BEGJP513,54,392,5,3323.55,35817.187438964844,4
BEGJP512,46,426,3,3239.49,42031.38806152344,4
BEGJP18P,110,614,5,3942.19,21065.79052734375,4
BEGJP951,111,118,36,3933.12,33785.58526611328,4
BEGJP91P,112,233,4,3814.32,79049.84289550781,0
BEGJP9P2,120,102,1,3834.76,50750.05364990234,4
BEGJP83P,129,637,9,4059.83,66105.46337890625,0
BEGJP888,119,641,3,3991.93,107254.19354248047,0
BEGJP889,94,609,5,3899.61,23967.947204589844,4
BEGJP939,95,305,7,3485.63,37212.36126708984,4
BEGJP931,99,316,5,3522.21,31375.40869140625,4
BEGJP882,98,630,3,3939.55,56476.12326049805,4
BEGJP933,106,229,3,3792.1,88903.84606933594,0
BEGJP932,87,278,7,3504.2,64775.238586425774,0
BEGJP92P,108,246,1,3734.45,55599.987548828125,4
BEGJP818,103,648,4,3934.52,73721.52703857423,0
BEGJP928,115,344,2,3708.91,54266.19549560547,4
BEGJP925,102,240,4,3717.52,53831.1953125,4
BEGJP921,94,292,1,3474.95,41460.20007324219,4
BEGJP928,115,297,3,3734.57,54342.045166015625,4
BEGJP522,117,470,1,3772.0,80340.599609375,0
BEGJP9P3,123,87,1,3824.35,75216.3046875,0
BEGJP811,129,853,8,4061.51,95109.96716308594,0
BEGJP813,84,608,2,3908.9,24725.34045410156,4
BEGJP199,153,506,1,4227.49,170217.06323242188,1
BEGJP295,108,81,221,4635.99,94261.7392578125,0
BEGJP291,138,59,221,4658.5,68475.73706054688,0
BEGJP21P,41,342,11,4228.58,179343.62915039062,1
BEGJP22P,20,482,1,4206.95,172072.60229492188,1
BEGJP929,94,269,11,3556.39,48572.621154785156,4
BEGJP222,30,467,212,4174.09,132127.87133789062,0
BEGJP882,83,431,235,4079.34,94044.58532714844,0
BEGJ9P92,36,484,20,3412.07,87510.43090820312,0
BEGJP129,94,560,5,3699.84,24972.646728515625,4
BEGJP188,45,578,20,3501.92,43818.59375,4
BEGJP181,104,518,9,3688.03,32963.419494628906,4
BEGJP555,110,501,4,3722.4,28402.10076904297,4
BEGJP852,56,575,224,3972.24,54762.24865722656,4
BEGJP552,139,443,7,4074.32,60638.0234375,4
BEGJP553,138,459,5,4030.06,58723.169677734375,4
BEGJP888,87,298,1,3420.47,25774.827087402344,4
BEGJP991,124,63,229,4485.54,63706.7041015625,4
BEGJ9P91,88,301,217,4043.5,45422.28869628906,4
BEGJP922,117,373,1,3728.03,23779.774169921875,4
BEGJP119,66,582,22,3600.65,36282.697509765625,4
BEGJP158,54,595,236,4203.36,49940.84240722656,4
BEGJP51P,135,484,9,3967.17,42032.06982421875,4
BEGJP128,95,574,3,3761.56,17369.296447753906,4
BEGJP113,96,585,4,3817.64,15502.275817871094,4
BEGJP183,106,526,22,3728.73,20852.53466796875,4
BEGJP938,114,333,1,3712.13,32804.39587402344,4
BEGJP951,118,101,237,4458.26,50568.331298828125,4
BEGJP518,137,428,16,4059.67,59148.57055664063,4
BEGJP952,115,105,241,4479.76,52063.76623535156,4
BEGJP182,99,542,11,3690.91,20003.5228881836,4
BEGJP831,114,709,17,4050.87,52183.2373046875,4
BEGJP153,100,554,243,4291.21,44277.891845703125,4
BEGJP853,52,409,226,3885.28,33267.77990722656,4
BEGJPP38,92,541,220,4147.96,42610.40197753906,4
BEGJP833,119,675,18,4016.86,38074.4912109375,4
BEGJP851,84,506,223,4019.26,37875.22058105469,4
BEGJP923,95,340,5,3468.35,18809.64459228516,4
BEGJP993,122,83,232,4471.06,45600.57666015625,4
BEGJP292,138,86,212,4607.4,44643.0654296875,4
BEGJP9P8,134,50,1,3995.66,38863.07080078125,4
BEGJP991,128,142,6,3998.46,34655.06140136719,4
BEGJP998,125,71,231,4476.1,43857.849365234375,4
BEGJP813,72,549,232,3975.07,36290.96362304688,4
BEGJP58P,52,432,10,3241.66,22725.3330078125,4
BEGJP922,98,328,3,3500.26,18131.278381347656,4
BEGJP952,126,91,236,4462.29,41190.61767578125,4
BEGJ9P8P,131,64,212,4513.18,41446.38916015625,4
BEGJP935,85,304,3,3391.14,15776.916564941406,4
BEGJ9P88,124,515,9,3876.92,22775.168823242188,4
BEGJP588,48,415,1,3255.91,19645.064331054688,4
BEGJP885,69,322,3,3336.66,19813.586181640625,4
BEGJP231,108,472,255,4305.77,31336.462890625,4
BEGJP182,41,540,4,3331.18,25484.786376953125,4
BEGJP518,101,476,4,3597.35,14395.842346191406,4
BEGJP552,44,448,6,3245.93,25243.541870117188,4
BEGJP831,129,652,25,4054.79,29676.44775390625,4
BEGJP838,129,708,24,4081.25,35519.828125,4
BEGJ9P85,123,448,1,3799.69,21461.486450195312,4
BEGJP81P,50,560,212,3854.44,31118.10913085937,4
BEGJP192,109,437,241,4298.78,24485.61633300781,4
BEGJP921,94,353,1,3460.68,15286.942810058594,4
BEGJP12P,29,527,212,4178.74,28948.201171875,4
BEGJP51P,63,373,6,3340.21,14746.234313964844,4
BEGJP855,78,514,212,3924.1,28258.0458984375,4
BEGJP832,122,857,4,4069.67,32228.5751953125,4
BEGJP811,57,503,235,3801.65,25109.123413085938,4
BEGJP938,87,291,1,3451.3,13921.026489257812,4
BEGJP953,114,113,254,4502.68,32356.78662109375,4
BEGJP959,118,218,16,3925.83,23786.919921875,4
BEGJP113,132,521,65,4048.69,17386.759887695312,4
BEGJP293,137,98,221,4620.49,29658.50634765625,4
BEGJP112,126,593,61,4121.44,23547.55249023437,4
BEGJP851,82,495,238,4027.06,24154.77319335937,4
BEGJP13P,128,554,45,4054.95,16892.40185546875,4
BEGJP181,111,450,235,4308.14,21416.811401367188,4
BEGJP152,105,511,218,4236.04,22357.091064453125,4
BEGJP298,113,57,212,4615.48,27715.8671875,4
BEGJP151,109,386,246,4292.63,19512.389404296875,4
BEGJP519,93,393,15,3469.91,10030.26690673828,4
BEGJP229,34,391,6,4243.14,31759.80419921875,4
BEGJP111,131,512,56,3998.09,13626.32421875,4
BEGJP82P,119,838,1,4050.63,24968.348510742188,4
BEGJP832,122,807,11,4052.58,25291.13671875,4
BEGJP881,100,281,1,3564.92,12315.202575683594,4
BEGJP112,129,537,66,4061.3,20456.843872070312,4
BEGJP152,31,554,224,4221.9,21577.57470703125,4
BEGJP138,129,619,50,4119.65,18326.43505859375,4
BEGJP835,130,770,3,4097.73,22647.988525390625,4
BEGJP551,43,480,1,3280.18,12801.40576171875,4
